RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1287,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3918,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
5251,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2030,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1882,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1552,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1739,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2412,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
4113,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1489,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1816,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1617,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
7094,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3356,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2089,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
6712,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1756,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3148,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1590,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2181,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1508,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1621,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1762,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1735,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1977,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
6105,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3701,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
9070,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1526,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3730,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2874,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2662,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1449,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
6354,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2048,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
