RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3574,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4433,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3910,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3697,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4566,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3736,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
9166,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2927,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3356,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
file,isFamiliar,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_lapid.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_ivri.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_rita.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_ornaBanai.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_yehimovitz.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_yanai.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_michaeli.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_moniMo.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_smootchi.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_peretz.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_alfi.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_tavori.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_benet.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_katorza.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_shaked.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_shaharHasson.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_shaniCo.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_zamir.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
P_liberman.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
E_harLev.jpg,1,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
age: 25,gender: F,handedness: left,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
