RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2996,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3031,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2101,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2405,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1937,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1658,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
19676,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
4398,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2316,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
12554,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
6143,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
23427,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2110,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
17540,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
15071,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
