RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2178,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2078,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4845,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1994,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2830,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4933,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2074,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4376,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2169,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3271,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2171,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1994,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1778,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3275,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
16987,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1820,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3125,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5875,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1949,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3474,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2854,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2105,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2927,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2485,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2363,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2787,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
8347,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3798,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3717,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3287,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1963,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3267,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6503,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2533,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3100,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2976,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4701,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1931,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
