RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2553,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2287,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2387,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2427,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1949,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1446,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1419,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3204,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1919,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1446,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2243,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2859,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2925,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2001,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3433,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3622,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
