RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1712,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3106,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2835,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1688,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1823,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2647,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1830,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2106,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2052,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1661,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1471,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1825,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1829,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2139,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1636,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1621,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1661,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1692,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
5319,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2889,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1798,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2117,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3179,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1652,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1775,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1657,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1468,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1490,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1738,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1764,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2392,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2102,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1946,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1558,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2217,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3242,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1987,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1598,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1688,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1611,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1615,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1938,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1512,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1695,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2960,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1804,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1956,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2184,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
file,isFamiliar,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_peretz.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_ivri.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_katorza.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_shaharHasson.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_liberman.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_smootchi.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_zamir.jpg,0,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_rita.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_shaked.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_michaeli.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_lapid.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_yanai.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_yehimovitz.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_shaniCo.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_ornaBanai.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_moniMo.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_harLev.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_alfi.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
E_tavori.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
P_benet.jpg,1,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
age: 38,gender: M,handedness: right,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
