RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2756,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
1974,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2195,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2467,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3315,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
file,isFamiliar,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_F_tehresy_may.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_M_robert_de_niro.jpg,0,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_M_michael_caine.jpg,0,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_M_tom_hankes.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_M_boris_johnson.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_F_sandra_bullock.jpg,0,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_M_nicolas_cage.jpg,0,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_F_jennifer_aniston.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_F_angelina_jolie.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_F_Kate_Winslet.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_F_Judi_Dench.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_M_Hugh_Grant.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_F_hillary_clinton.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_M_bill_clinton.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_M_Tony_Blair.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
E_F_keira_knightley.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_M_donald_trump.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_M_george_Wbush.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_F_nicola_sturgeon.jpg,0,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
P_M_david_cameron.jpg,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
age: 31,gender: Female,handedness: right,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
