RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2519,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5046,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5914,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3597,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1667,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
8003,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2340,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
17690,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3448,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2029,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2084,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3308,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2118,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2133,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1509,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3101,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5455,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2879,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1789,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2671,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2940,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3732,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2629,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5813,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1964,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3018,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1815,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1981,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1590,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4306,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1780,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2015,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2112,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2333,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2399,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2651,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1629,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4388,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1725,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3029,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2031,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2058,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2637,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1590,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1765,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1795,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1990,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2334,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3597,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2052,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2482,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2175,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3563,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
file,isFamiliar,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_M_Tony_Blair.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_F_sandra_bullock.jpg,0,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_M_boris_johnson.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_M_bill_clinton.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_M_donald_trump.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_F_Kate_Winslet.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_M_michael_caine.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_M_david_cameron.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_M_robert_de_niro.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_F_nicola_sturgeon.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_F_tehresy_may.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_F_keira_knightley.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_M_george_Wbush.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_M_Hugh_Grant.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_M_nicolas_cage.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_F_angelina_jolie.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_F_Judi_Dench.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_M_tom_hankes.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
E_F_jennifer_aniston.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
P_F_hillary_clinton.jpg,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
age: 32,gender: Male,handedness: left,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
