RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5028,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4548,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3598,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4529,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3379,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2895,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3129,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3662,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2578,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6195,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3448,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3545,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3847,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4045,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5012,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3528,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2915,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2744,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5031,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6313,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4062,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4795,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2845,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2814,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3245,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2763,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
157785,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
48402,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4594,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3133,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
