RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8221,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
12191,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4870,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
17216,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
9273,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
2804,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3445,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6072,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
2655,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
2449,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
