RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3423,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2599,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2327,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2335,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4654,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2311,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
9670,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2031,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
5830,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4071,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2214,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4671,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2951,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2639,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2711,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
1999,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4822,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2823,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2623,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2871,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2655,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
1959,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2351,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2334,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3695,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2855,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2895,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3455,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2383,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3047,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2414,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3903,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
1791,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2743,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3015,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2782,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3167,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
