RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3270,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3448,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
2932,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8822,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4182,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4958,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
file,isFamiliar,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_F_nicola_sturgeon.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_M_donald_trump.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_M_bill_clinton.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_F_Judi_Dench.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_M_Hugh_Grant.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_F_hillary_clinton.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_M_robert_de_niro.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_F_angelina_jolie.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_F_keira_knightley.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_M_Tony_Blair.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_M_george_Wbush.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_F_Kate_Winslet.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_M_boris_johnson.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_M_david_cameron.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
P_F_tehresy_may.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_M_nicolas_cage.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_F_sandra_bullock.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_M_michael_caine.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_M_tom_hankes.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
E_F_jennifer_aniston.jpg,1,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
age: 31,gender: Female,handedness: right,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
