RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3754,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3105,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2787,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3306,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2979,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4045,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2988,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5893,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3129,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2659,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4975,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3595,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4128,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5013,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2938,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
7161,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3636,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
