RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2893,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2227,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1549,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1288,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2502,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1522,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1564,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2158,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1295,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1386,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1438,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2550,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2020,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2581,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
