RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2422,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3414,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2664,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2511,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2668,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3735,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
5204,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4591,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3254,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2882,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
