RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4230,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3408,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3558,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4835,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3750,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3361,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
12570,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2631,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3421,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3633,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4130,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3351,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2744,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
5587,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
6101,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3863,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3818,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1918,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
8473,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
6228,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3586,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
6602,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2407,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4287,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3576,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
5002,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2965,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4103,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2400,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2390,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2546,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3600,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2749,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3214,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3864,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2487,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
5390,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
10597,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
6790,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4304,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
6590,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4673,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4275,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4570,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2734,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3713,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2506,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2900,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
5006,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3775,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3270,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2780,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2637,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3115,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4824,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4600,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2775,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3671,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1918,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4276,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
7547,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
