RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2356,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2076,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4379,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2495,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1626,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1599,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1548,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1857,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2878,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4088,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2727,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3083,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2492,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
5608,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
6542,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2193,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2604,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2134,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
