RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4322,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5462,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4575,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2790,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2271,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1862,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3668,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5859,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2967,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5128,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2820,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4244,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3565,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4057,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3240,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4057,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2585,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5475,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3935,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4276,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2979,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3397,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4614,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2782,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3806,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4590,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3621,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3660,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5214,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4462,E_M_robert_de_niro.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3804,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4385,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3817,E_F_keira_knightley.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
7455,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2796,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4316,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3568,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4351,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2977,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4322,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
21786,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3954,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3787,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3648,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3591,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3979,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2877,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3228,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2944,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
11877,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3483,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5570,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3299,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4312,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4602,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
6994,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4473,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4815,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2876,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2964,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
6899,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3455,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3644,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3270,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5094,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
23156,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3812,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2781,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2484,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2481,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2585,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2411,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4199,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2403,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2078,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1472,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1952,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2465,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2797,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3275,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2942,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2535,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4206,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
