RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3928,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3972,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4089,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3849,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3792,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
6063,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5055,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5655,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4592,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3072,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3104,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3879,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
2869,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5694,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4649,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3440,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4525,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5221,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3426,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4171,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4097,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3584,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5737,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4447,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
7161,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3099,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
8338,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
6419,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3272,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3133,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4989,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
6215,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3887,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
8221,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
