RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3521,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3455,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3332,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3481,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3337,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4215,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3163,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3261,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3476,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3347,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
120917,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
6403,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
5933,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
7664,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4273,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
1486,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3217,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4660,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4444,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2419,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2114,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
8030,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2908,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4598,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2629,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2381,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2004,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
1499,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2352,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
10183,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2039,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2199,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2535,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
9746,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4277,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3258,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4358,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3178,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2188,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
