RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6217,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5664,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5474,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
2848,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
7047,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
2530,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
2938,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5376,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5170,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5652,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
