RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2549,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6311,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2762,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2217,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
7497,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
file,isFamiliar,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_F_Jennifer_Saunders(21).png,0,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_M_Russell_Howard(20).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_M_Peter_Kay(20).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_M_Simon_Pegg(24).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_Gordon_Brown(14).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_david_camer(18).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_F_Julie_Walters(15).png,0,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_Sajid_Javid(12).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_keir_starmer(9).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_F_nicola_sturge(17).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_nigel_farage(9).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_F_Dawn_Roma(22).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_Michael_Gove(3).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_M_Jimmy_Carr(12).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_M_Michael_McIntyr(7).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_Tony_Blair(12).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_F_Theresa_May(16).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_F_Sarah_Millican(22).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
P_M_jeremy_corbyn(10).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
E_M_Ewan_McGregor(15).png,1,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
age: 35,gender: Male,handedness: right,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
