RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2094,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2229,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2615,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3060,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2282,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2639,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2901,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2011,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2800,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1954,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1952,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1811,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2746,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2638,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3586,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2356,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2872,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2193,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4661,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2870,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3086,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2646,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2140,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2007,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2515,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2911,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2816,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2322,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2933,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2029,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2659,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2235,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1746,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
