RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1427,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2585,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1905,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1148,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1692,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2222,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1395,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2833,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2607,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
19424,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5497,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
8118,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5095,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
10042,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
9568,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1569,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2319,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1925,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1897,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2028,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1296,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2619,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1468,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2324,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1861,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2037,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2357,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5382,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2105,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3261,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2114,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2927,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1308,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1455,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1459,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
956,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2009,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2250,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1522,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1655,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1021,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
737,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1449,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2859,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
4339,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
9393,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1963,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
792,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
744,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2068,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1753,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1031,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1167,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2119,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
935,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
file,isFamiliar,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_M_Russell_Howard(20).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_keir_starmer(9).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_M_Jimmy_Carr(12).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_F_Julie_Walters(15).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_Tony_Blair(12).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_F_nicola_sturge(17).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_F_Sarah_Millican(22).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_F_Dawn_Roma(22).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_F_Theresa_May(16).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_F_Jennifer_Saunders(21).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_Michael_Gove(3).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_jeremy_corbyn(10).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_Gordon_Brown(14).png,0,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_david_camer(18).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_M_Ewan_McGregor(15).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_M_Peter_Kay(20).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_Sajid_Javid(12).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_M_Simon_Pegg(24).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
P_M_nigel_farage(9).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
E_M_Michael_McIntyr(7).png,1,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
age: 28,gender: Female,handedness: right,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
