RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2681,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2818,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2102,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2113,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2538,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4578,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3826,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2563,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3653,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
6487,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3010,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3310,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4475,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2345,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3883,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3227,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2939,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2969,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
