RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4267,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2990,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4076,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3983,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2728,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4404,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2925,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
5779,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2580,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
5896,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2505,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3395,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2842,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3218,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3305,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3143,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2611,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2599,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3397,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4237,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3081,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4052,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3343,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2804,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4947,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3226,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3349,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2814,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4290,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3863,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3623,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2825,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3519,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
