RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
877,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1069,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3400,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
937,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1940,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1694,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1013,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3656,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1126,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1323,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1118,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
968,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1044,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1195,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2070,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1217,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
932,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2452,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
5677,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
44525,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1258,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2240,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1051,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1246,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1440,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2902,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2472,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1003,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
991,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1056,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1722,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1255,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1063,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1336,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2076,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1188,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1238,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1329,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2029,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
4118,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1577,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1378,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1083,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1165,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1147,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
978,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1507,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1425,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1579,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1284,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1074,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1420,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1650,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1706,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1133,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
file,isFamiliar,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_F_Julie_Walters(15).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_keir_starmer(9).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_F_Sarah_Millican(22).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_jeremy_corbyn(10).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_M_Jimmy_Carr(12).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_M_Simon_Pegg(24).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_Michael_Gove(3).png,0,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_david_camer(18).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_M_Ewan_McGregor(15).png,0,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_M_Russell_Howard(20).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_Sajid_Javid(12).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_F_Dawn_Roma(22).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_F_Jennifer_Saunders(21).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_M_Michael_McIntyr(7).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_F_nicola_sturge(17).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_nigel_farage(9).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
E_M_Peter_Kay(20).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_F_Theresa_May(16).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_Gordon_Brown(14).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
P_M_Tony_Blair(12).png,1,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
age: 29,gender: Male,handedness: right,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
