RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4039,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4775,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2359,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1562,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2199,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2088,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1870,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2849,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2031,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4190,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1567,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2802,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2647,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3125,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1743,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1624,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1507,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2243,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1684,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2307,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2022,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1489,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1923,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
