RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1685,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1193,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1258,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1188,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
875,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1641,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1139,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1277,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1223,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
888,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1267,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1197,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1044,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
995,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
859,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
892,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1354,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
73540,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1720,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
