RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
22000,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3440,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2006,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2386,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4099,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
1696,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2034,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2623,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2737,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3302,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
1806,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3903,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4472,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2494,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
1887,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
13276,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
8472,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4245,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3805,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2473,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
