RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6855,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3263,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2476,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3644,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3342,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3708,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4731,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
8503,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3255,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3305,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4826,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2895,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
39906,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2526,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
7439,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2730,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5726,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
16758,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2601,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5936,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2743,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
9358,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2298,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2643,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2262,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2413,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2679,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1950,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3349,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
21201,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3355,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2472,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2621,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3297,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2890,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2737,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2787,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2024,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
21130,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4507,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3832,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4558,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4427,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2082,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2272,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2748,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
1885,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2924,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4163,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3060,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2239,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2621,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4962,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
