"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"3310","P_M_david_camer.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_david_camer.png P_M_Tony_Blair.png",-0.617076175740081,"28","Male","right"
"6359","P_F_Theresa_May.png","P_M_Gordon_Brown.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_Theresa_May.png P_M_Gordon_Brown.png",0.685640195266756,"28","Male","right"
"3167","P_M_keir_starmer.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_keir_starmer.png P_M_Sajid_Javid.png",0.685640195266756,"28","Male","right"
"2108","E_F_Dawn_Roma_French.png","P_F_nicola_sturge.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Dawn_Roma_French.png P_F_nicola_sturge.png",-0.617076175740081,"28","Male","right"
"5649","P_M_Michael_Gove.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_Michael_Gove.png P_M_Sajid_Javid.png",0.685640195266756,"28","Male","right"
"2378","E_F_Sarah_Millican.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Sarah_Millican.png P_M_Gordon_Brown.png",0.685640195266756,"28","Male","right"
"7167","E_F_Jennifer_Saunders.png","E_M_Peter_Kay.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png E_M_Peter_Kay.png",-1.91979254674692,"28","Male","right"
"1993","E_F_Julie_Walters.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Julie_Walters.png P_M_keir_starmer.png",-0.617076175740081,"28","Male","right"
"1830","E_M_Ewan_McGregor.png","P_M_jeremy_corbyn.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Ewan_McGregor.png P_M_jeremy_corbyn.png",-0.617076175740081,"28","Male","right"
"1824","E_F_Jennifer_Saunders.png","E_M_Ewan_McGregor.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png E_M_Ewan_McGregor.png",0.685640195266756,"28","Male","right"
"6969","E_F_Jennifer_Saunders.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png P_M_Gordon_Brown.png",0.685640195266756,"28","Male","right"
"4498","E_F_Dawn_Roma_French.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Dawn_Roma_French.png P_M_Gordon_Brown.png",-1.91979254674692,"28","Male","right"
"4175","E_M_Simon_Pegg.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Simon_Pegg.png P_M_nigel_farage.png",-0.617076175740081,"28","Male","right"
"1955","P_F_nicola_sturge.png","P_M_keir_starmer.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_nicola_sturge.png P_M_keir_starmer.png",0.685640195266756,"28","Male","right"
"8234","E_F_Jennifer_Saunders.png","E_M_Jimmy_Carr.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png E_M_Jimmy_Carr.png",0.685640195266756,"28","Male","right"
"1635","E_F_Dawn_Roma_French.png","E_F_Jennifer_Saunders.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Dawn_Roma_French.png E_F_Jennifer_Saunders.png",-0.617076175740081,"28","Male","right"
"20621","E_F_Sarah_Millican.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Sarah_Millican.png P_M_david_camer.png",0.685640195266756,"28","Male","right"
"12818","P_M_david_camer.png","P_M_keir_starmer.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",4,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_david_camer.png P_M_keir_starmer.png",-1.91979254674692,"28","Male","right"
"7785","P_M_david_camer.png","P_M_Gordon_Brown.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",4,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_david_camer.png P_M_Gordon_Brown.png",-1.91979254674692,"28","Male","right"
"1880","E_F_Dawn_Roma_French.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Dawn_Roma_French.png E_M_Russell_Howard.png",-0.617076175740081,"28","Male","right"
"2608","P_F_nicola_sturge.png","P_M_jeremy_corbyn.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_nicola_sturge.png P_M_jeremy_corbyn.png",-0.617076175740081,"28","Male","right"
"2651","E_M_Jimmy_Carr.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Jimmy_Carr.png P_M_david_camer.png",-0.617076175740081,"28","Male","right"
"14694","E_M_Ewan_McGregor.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Ewan_McGregor.png E_M_Russell_Howard.png",-0.617076175740081,"28","Male","right"
"4393","P_F_Theresa_May.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_Theresa_May.png P_M_Sajid_Javid.png",0.685640195266756,"28","Male","right"
