RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed
7317,E_F_rotem_sela.png,P_M_smut.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5
5024,E_M_asi.png,P_F_staiv.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5
3614,E_M_yuda.png,P_F_regev.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5
4184,E_F_ilanit.png,E_M_yuda.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2
2656,E_F_ninet.png,E_M_yuda.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1
2540,E_F_ilanit.png,E_F_rotem_sela.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2
2147,E_F_ninet.png,P_M_buji.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5
4077,E_M_danker.png,P_M_lapid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6
3523,E_F_shiri.png,P_F_shaked.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3
2649,P_F_staiv.png,P_M_lapid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2
3080,E_F_shiri.png,P_M_gantz.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6
3282,E_M_liorA.png,P_F_shaked.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4
4136,P_F_michaeli.png,P_M_buji.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2
5623,E_F_ninet.png,P_M_smut.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6
2532,P_M_lapid.png,P_M_smut.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2
3247,E_M_danker.png,P_M_buji.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6
5242,P_F_regev.png,P_M_gantz.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2
2984,E_F_galit_gutman.png,P_M_saar.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6
3072,E_F_galit_gutman.png,P_F_shaked.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4
6346,E_F_galit_gutman.png,E_M_asi.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4
2291,E_F_ilanit.png,P_F_michaeli.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5
