RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5835,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3721,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5956,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4533,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
file,isFamiliar,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_nicolas_cage.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_F_esther_mcvey.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_F_keira_knightley.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_F_tehresy_may.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_M_george_Wbush.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_F_jennifer_aniston.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_robert_de_niro.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_liam_neeson.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_M_donald_trump.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_M_Tony_Blair.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_F_sandra_bullock.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_M_david_cameron.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_anthony_hopkins.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_tom_hankes.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_Martin_Freeman.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_F_Judi_Dench.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_Hugh_Grant.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_F_Kate_Winslet.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_M_bill_clinton.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_F_hillary_clinton.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_F_nicola_sturgeon.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_F_angela_rayner.jpg,0,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_F_PRITI_PATEL.jpg,0,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_M_michael_caine.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
E_F_angelina_jolie.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
P_M_boris_johnson.jpg,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
age: 37,gender: Female,handedness: right,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
