RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2497,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2648,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2033,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2131,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2972,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1953,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2161,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3004,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2030,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3080,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3297,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2879,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3056,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
5781,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3446,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1954,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2826,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2183,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3072,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3595,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2585,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2249,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2629,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
4983,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2096,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3120,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2535,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2382,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1872,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1943,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1627,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1899,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1630,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
