RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
73256,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
6678,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
14313,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
9196,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4730,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
6081,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3538,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3076,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4053,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
16375,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2332,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3072,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
6592,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4434,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
6998,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3138,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4894,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
file,isFamiliar,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_Martin_Freeman.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_F_angela_rayner.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_F_Judi_Dench.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_M_george_Wbush.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_michael_caine.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_M_donald_trump.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_robert_de_niro.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_tom_hankes.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_anthony_hopkins.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_F_Kate_Winslet.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_M_Hugh_Grant.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_F_esther_mcvey.jpg,0,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_F_hillary_clinton.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_F_jennifer_aniston.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_F_angelina_jolie.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
P_M_david_cameron.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
E_F_keira_knightley.jpg,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
