RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3233,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2899,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2197,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1447,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2172,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2126,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2310,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2102,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4494,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2335,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1902,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2646,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1997,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2005,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
5991,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1790,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3614,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1733,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1927,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
140877,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2038,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2630,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1966,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2140,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2157,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2302,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1974,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
