RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2355,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1293,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1345,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
6836,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2297,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2492,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2544,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3086,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1271,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3087,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1939,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1278,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1595,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1177,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2006,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1720,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2305,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1669,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1905,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2101,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2989,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2068,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4851,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1632,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
5890,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
14165,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3025,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2654,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4773,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2013,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
8272,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4920,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
6080,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2785,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1826,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2820,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2671,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2810,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3147,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3752,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
16082,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2309,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3697,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2529,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1569,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1478,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4589,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1921,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2602,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2054,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2425,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3061,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3130,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2481,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4054,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2956,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4528,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1801,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2359,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3174,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2545,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1603,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1194,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3779,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
