RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2784,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3628,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2592,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2778,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
7801,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
6860,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3196,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3251,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2552,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5981,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4027,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2771,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2947,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2378,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
36456,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4248,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3274,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3011,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3005,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2240,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2514,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2876,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3255,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2929,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2916,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3818,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
