RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
6076,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2431,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3409,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
7888,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2631,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3104,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4775,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5145,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4894,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3563,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4248,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
6961,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3360,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4790,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3084,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3401,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5957,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3120,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3317,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4009,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3227,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3824,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3647,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4122,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
6491,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4161,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4159,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
8378,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2932,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2117,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3349,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2801,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3198,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5776,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2494,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3022,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5008,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2866,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2181,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2648,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4681,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3728,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4931,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3523,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3545,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3624,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
