RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
1627,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4233,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3234,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3066,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
file,isFamiliar,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_M_david_cameron.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_F_sandra_bullock.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_M_Tony_Blair.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_M_robert_de_niro.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_F_nicola_sturgeon.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_F_Kate_Winslet.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_M_bill_clinton.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_M_Hugh_Grant.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_F_keira_knightley.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_F_Judi_Dench.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_M_tom_hankes.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_M_nicolas_cage.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_F_angelina_jolie.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_F_hillary_clinton.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_M_donald_trump.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_F_tehresy_may.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_F_jennifer_aniston.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_M_boris_johnson.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
P_M_george_Wbush.jpg,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
E_M_michael_caine.jpg,0,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
age: 26,gender: Female,handedness: left,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
