RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4428,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3312,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3341,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4832,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
5078,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4735,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2592,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4524,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3208,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2448,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2591,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
5300,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2670,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2808,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4193,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3108,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2377,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2208,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2276,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3502,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2910,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2548,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2623,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2505,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2308,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4034,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2671,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4512,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2925,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2661,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3356,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
6907,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
6682,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3778,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2577,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3739,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2579,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2839,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
5979,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
5251,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4789,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4927,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
