RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4317,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
5975,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
11758,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3855,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2523,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2882,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3575,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3427,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2152,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2761,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
