RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3683,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2700,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4142,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
5003,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2687,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
7574,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2754,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
6611,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
10614,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
5844,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3468,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4667,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
7618,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2609,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3068,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
