RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
1919,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2271,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3215,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2391,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2031,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2670,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
1990,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2263,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
1951,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
3751,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
14070,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
6711,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2046,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2559,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2487,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2207,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2606,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
