RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4872,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5403,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6122,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5934,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6789,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6098,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3832,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
8807,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5479,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4130,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
