RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
5551,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
29130,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
23025,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8333,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
5225,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
13507,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
10470,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
3982,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
30908,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
17815,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
12754,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8818,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
21998,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
13803,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
20741,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
3489,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
16636,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
15242,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
5712,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4809,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7588,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
10555,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7949,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7346,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
12908,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
19302,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8337,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
3608,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
9959,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
41221,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
15986,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
4471,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8047,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
10308,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
8444,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
7203,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
21329,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
14614,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f217daa265393532f3f3018,"11/30/2021, 10:34:52"
