RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1599,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
7669,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
595,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
589,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2181,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1546,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1247,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1680,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1710,E_M_Martin_Freeman.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1672,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1377,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1629,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5130,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2837,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3323,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1709,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3494,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
8229,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
9930,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1585,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1127,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
6932,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2253,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
6144,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2727,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
8322,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3786,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1679,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2705,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4921,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2752,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5057,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
772,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
664,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
782,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
755,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
559,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
683,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
687,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
6659,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2629,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
11063,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2998,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5993,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2701,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1293,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
558,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1363,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2350,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4360,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3669,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2755,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4630,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
11546,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1111,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
629,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1635,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1733,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1564,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4632,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2044,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2595,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3996,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2400,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1372,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1912,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
