RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2530,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2874,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2099,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2004,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2974,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3372,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3052,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3866,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3112,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2883,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
57993,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
8523,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3577,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2155,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3005,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3934,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3000,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2295,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3558,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2880,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2372,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3303,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2582,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2575,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2205,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2277,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
7059,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4714,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2327,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4067,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2024,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
6859,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2366,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2269,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2513,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3490,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2991,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3522,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2464,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3409,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
51936,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
30696,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2254,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2515,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
8385,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3777,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3585,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2970,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3413,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2158,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2271,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3757,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3097,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4699,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3921,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2969,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
62733,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2691,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
1641,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
1788,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4820,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
8722,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
36477,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2146,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
1746,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
