RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2679,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
9839,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2063,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4807,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2724,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2392,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3096,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3056,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3155,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3687,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2607,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4287,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2166,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2848,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4384,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2526,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2788,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2623,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2207,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3344,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2876,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
