RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,7472,"08/14/2022, 09:59:50"
1681,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,7472,"08/14/2022, 09:59:50"
1902,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
2104,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,7472,"08/14/2022, 09:59:50"
1519,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
4349,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,7472,"08/14/2022, 09:59:50"
3493,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,7472,"08/14/2022, 09:59:50"
4285,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
959,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
1076,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,7472,"08/14/2022, 09:59:50"
1405,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,7472,"08/14/2022, 09:59:50"
2147,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,7472,"08/14/2022, 09:59:50"
1989,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,7472,"08/14/2022, 09:59:50"
2220,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,7472,"08/14/2022, 09:59:50"
1543,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,7472,"08/14/2022, 09:59:50"
2412,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,7472,"08/14/2022, 09:59:50"
1155,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,7472,"08/14/2022, 09:59:50"
2534,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,7472,"08/14/2022, 09:59:50"
1468,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
1846,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,7472,"08/14/2022, 09:59:50"
1946,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,7472,"08/14/2022, 09:59:50"
1462,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,7472,"08/14/2022, 09:59:50"
911,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
1714,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,7472,"08/14/2022, 09:59:50"
1314,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,7472,"08/14/2022, 09:59:50"
864,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,7472,"08/14/2022, 09:59:50"
1358,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
1751,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,7472,"08/14/2022, 09:59:50"
2238,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,7472,"08/14/2022, 09:59:50"
1019,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,7472,"08/14/2022, 09:59:50"
2189,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,7472,"08/14/2022, 09:59:50"
1276,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,7472,"08/14/2022, 09:59:50"
1121,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,7472,"08/14/2022, 09:59:50"
1249,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,7472,"08/14/2022, 09:59:50"
1053,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,7472,"08/14/2022, 09:59:50"
5276,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,7472,"08/14/2022, 09:59:50"
8319,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,7472,"08/14/2022, 09:59:50"
file,isFamiliar,7472,"08/14/2022, 09:59:50"
P_liberman.jpg,1,7472,"08/14/2022, 09:59:50"
E_shaharHasson.jpg,1,7472,"08/14/2022, 09:59:50"
E_katorza.jpg,1,7472,"08/14/2022, 09:59:50"
P_yehimovitz.jpg,1,7472,"08/14/2022, 09:59:50"
E_rita.jpg,1,7472,"08/14/2022, 09:59:50"
