RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2587,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2477,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2587,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1876,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2258,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3409,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2557,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1995,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2512,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4745,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4190,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
6328,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2503,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4756,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2292,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2776,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2517,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4791,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2073,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2272,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2171,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2034,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2252,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1957,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2274,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2314,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2327,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2723,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2834,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2598,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3086,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2544,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2148,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
