RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3611,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4838,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6122,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5433,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3422,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3276,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3382,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4258,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3983,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3492,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4523,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3754,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
