RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2928,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4268,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2776,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3565,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4309,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3058,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4380,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4021,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2909,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2919,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3343,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
5257,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2887,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4418,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
