RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
2959,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3324,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7345,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6357,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5836,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
11198,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
9418,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
9169,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6441,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5918,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4136,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4058,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5286,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5902,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6034,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5708,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5120,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4036,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3368,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
50848,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
15596,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7159,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3401,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7787,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6855,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
9845,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
17895,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4111,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5902,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
15144,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4835,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4455,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7284,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4596,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
9154,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7352,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3325,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4394,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
