RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5675,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6172,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3202,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3815,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5849,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3419,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3664,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
8335,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5922,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
17286,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
7566,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4003,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4393,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5304,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6446,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3153,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
8759,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4684,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4012,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3288,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
2922,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3039,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5412,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4942,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
7308,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
13693,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
2789,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
13260,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
