RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2776,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2850,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
8630,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4120,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
8807,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4845,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4074,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6862,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3432,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3150,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3551,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2451,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4592,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
7785,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4737,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2762,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5671,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2161,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2261,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2250,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3678,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3471,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3515,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5023,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3752,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5827,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2909,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6259,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3361,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
9756,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2619,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4869,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3928,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4067,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2974,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4713,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
10226,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2755,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
7413,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
