RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2389,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2101,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2355,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1547,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2241,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3282,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1681,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2425,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2274,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3084,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2763,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2452,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2024,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1956,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2661,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1761,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2114,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1969,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1919,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1505,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2135,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2469,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2569,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2058,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
4307,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1908,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3655,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2424,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1685,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1385,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1930,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1777,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1565,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2334,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2936,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2414,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1930,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1711,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2324,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1784,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3174,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2929,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3406,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2879,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2871,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2775,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2784,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2255,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2382,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1827,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2607,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1929,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2591,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1653,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2125,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1704,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
file,isFamiliar,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_smootchi.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_ivri.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_michaeli.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_peretz.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_yehimovitz.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_shaniCo.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_harLev.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_liberman.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_zamir.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_ornaBanai.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_rita.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_lapid.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_katorza.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_moniMo.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_shaked.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_alfi.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_shaharHasson.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_tavori.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
P_benet.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
E_yanai.jpg,1,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
age: 29,gender: F,handedness: right,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
