RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2045,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3794,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2102,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2005,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
602,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2125,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
758,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
784,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
558,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1602,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3596,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
