RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2526,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3763,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4090,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3208,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3453,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2401,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2618,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4205,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2910,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2477,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4114,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4305,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2641,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3031,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
