RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_lapid.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_ivri.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_alfi.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_zamir.jpg,0,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_benet.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_yanai.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_peretz.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_katorza.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_harLev.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_shaked.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_tavori.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_smootchi.jpg,0,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_yehimovitz.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_moniMo.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
age: 31,gender: M,handedness: right,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
