RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3107,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4334,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3580,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
14220,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
7559,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2483,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2183,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3080,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3469,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2873,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3874,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
1846,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2557,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4038,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3686,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3199,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3804,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4540,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2282,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
1997,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4614,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6799,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2515,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4083,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4217,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
