RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2194,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1494,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1563,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2424,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1940,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2143,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1802,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2662,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1534,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1758,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1569,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1368,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1243,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1560,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1389,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1933,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1926,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4810,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1619,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2047,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1413,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3053,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2040,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2825,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1976,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1396,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1114,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1482,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3671,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1684,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2273,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3132,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1563,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1748,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1532,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1631,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
