RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5486,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
7834,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
6258,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5211,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
2772,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5588,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4194,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
8427,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
2389,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4863,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4020,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
2728,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3373,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
9022,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5869,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3630,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3328,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
7624,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
8058,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3903,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4744,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5488,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4475,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
2916,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5456,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3538,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4790,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
8910,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
2863,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5354,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4325,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
5836,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3648,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4058,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3717,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
4523,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
3061,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
2505,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fb59b9ecada2200082c0842,"06/27/2022, 12:18:31"
